edgs_region,zone_11,zone_14,zone_16
Northland,northland,northland,northland
Auckland,auckland,auckland,auckland
Waikato,waikato,waikato,waikato
Bay of Plenty,bay_of_plenty,bay_of_plenty,bay_of_plenty
Gisborne,hawkes_bay,hawkes_bay,gisborne
Hawke's Bay,hawkes_bay,hawkes_bay,hawkes_bay
Taranaki,taranaki,taranaki,taranaki
Manawatū-Whanganui,manawatu_whanganui,manawatu_whanganui,manawatu_whanganui
Wellington,wellington,wellington,wellington
Tasman,nelson,nelson,tasman
Nelson,nelson,nelson,nelson
Marlborough,nelson,marlborough,marlborough
West Coast,canterbury,west_coast,west_coast
Canterbury,canterbury,canterbury,canterbury
Otago,otago,otago,otago
Southland,otago,southland,southland
