asset_id,asset_type,zone,technology,installed_capacity_mw,installed_energy_mwh,p_nom_max_mw,e_nom_max_mwh,capital_cost,marginal_cost,efficiency,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source,cost_key,notes,cyclic_inventory
h2_electrolyzer_cabo_negro,electrolyzer,cabo_negro,electrolyzer,0,,1000,,,,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS,electrolyzer,Cambio: electrolizador limitado por MW eléctrico de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_surface_tank_cabo_negro,h2_store_tank,cabo_negro,hydrogen_storage,,0,,10000,,,,0.0,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS,h2_tank,"Cambio: tanque H2 con capacidad en MWh_H2, pérdida cero e inventario cíclico. Costos centralizados en costs.csv.",TRUE
h2_fuel_cell_cabo_negro,h2_fuel_cell,cabo_negro,h2_fuel_cell,0,,1000,,,,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS,h2_fuel_cell,Cambio: celda de combustible limitada por MW_H2 de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_electrolyzer_puerto_natales,electrolyzer,puerto_natales,electrolyzer,0,,100,,,,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS,electrolyzer,Cambio: electrolizador limitado por MW eléctrico de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_surface_tank_puerto_natales,h2_store_tank,puerto_natales,hydrogen_storage,,0,,3000,,,,0.0,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS,h2_tank,"Cambio: tanque H2 con capacidad en MWh_H2, pérdida cero e inventario cíclico. Costos centralizados en costs.csv.",TRUE
h2_fuel_cell_puerto_natales,h2_fuel_cell,puerto_natales,h2_fuel_cell,0,,100,,,,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS,h2_fuel_cell,Cambio: celda de combustible limitada por MW_H2 de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_electrolyzer_porvenir,electrolyzer,porvenir,electrolyzer,0,,60,,,,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS,electrolyzer,Cambio: electrolizador limitado por MW eléctrico de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_surface_tank_porvenir,h2_store_tank,porvenir,hydrogen_storage,,0,,1800,,,,0.0,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS,h2_tank,"Cambio: tanque H2 con capacidad en MWh_H2, pérdida cero e inventario cíclico. Costos centralizados en costs.csv.",TRUE
h2_fuel_cell_porvenir,h2_fuel_cell,porvenir,h2_fuel_cell,0,,60,,,,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS,h2_fuel_cell,Cambio: celda de combustible limitada por MW_H2 de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_electrolyzer_puerto_williams,electrolyzer,puerto_williams,electrolyzer,0,,15,,,,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS,electrolyzer,Cambio: electrolizador limitado por MW eléctrico de entrada; límite no vinculante y costos centralizados en costs.csv.,
h2_surface_tank_puerto_williams,h2_store_tank,puerto_williams,hydrogen_storage,,0,,450,,,,0.0,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS,h2_tank,"Cambio: tanque H2 con capacidad en MWh_H2, pérdida cero e inventario cíclico. Costos centralizados en costs.csv.",TRUE
h2_fuel_cell_puerto_williams,h2_fuel_cell,puerto_williams,h2_fuel_cell,0,,15,,,,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS,h2_fuel_cell,Cambio: celda de combustible limitada por MW_H2 de entrada; límite no vinculante y costos centralizados en costs.csv.,
