cost_key,technology,year,base_year,capex,capex_unit,nominal_basis,discount_rate,lifetime_years,fom_fraction,capital_cost,capital_cost_unit,marginal_cost,marginal_cost_unit,efficiency,max_hours,efficiency_store,efficiency_dispatch,standing_loss,co2_emissions,annual_change,capex_annual_change,capital_cost_annual_change,marginal_cost_annual_change,co2_emissions_annual_change,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,source,source_url,fx_rate_usd_per_eur,fx_source_url,notes
wind,wind,2030,2030,,,,,,,110000.0,,0.0,,1.0,,,,,0.0,,,-0.01,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
solar,solar,2030,2030,,,,,,,60000.0,,0.0,,1.0,,,,,0.0,,,-0.02,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
ocgt,ocgt,2030,2030,,,,,,,45000.0,,140.0,,0.38,,,,,0.202,,,,0.015,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
bess,bess,2030,2030,,,,,,,75000.0,,0.0,,,4.0,0.95,0.95,0.001,0.0,,,-0.015,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
natural_gas,natural_gas,2030,2030,,,,,,,0.0,,45.0,,1.0,,,,,0.202,,,,0.02,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
gas_boiler,gas_boiler,2030,2030,,,,,,,0.0,,0.0,,0.9,,,,,0.0,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
heat_pump,heat_pump,2030,2030,,,,,,,65000.0,,0.0,,3.0,,,,,0.0,,,-0.01,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
asu,asu,2030,2030,,,,,,,50000.0,,0.0,,5.0,,,,,0.0,,,-0.01,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
dac,dac,2030,2030,,,,,,,150000.0,,0.0,,1.0,,,,,0.0,,,-0.01,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
ammonia_synthesis,ammonia_synthesis,2030,2030,,,,,,,120000.0,,0.0,,0.169491525,,,,,0.0,,,-0.005,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
methanol_synthesis,methanol_synthesis,2030,2030,,,,,,,130000.0,,0.0,,0.16,,,,,0.0,,,-0.005,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
ammonia_storage,ammonia_storage,2030,2030,,,,,,,80.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
methanol_storage,methanol_storage,2030,2030,,,,,,,60.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
ccgt,ccgt,2030,2030,,,,,,,,,,,0.48,,,,,0.202,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
gas_peaker,gas_peaker,2030,2030,,,,,,,,,,,0.36,,,,,0.202,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
gas_cogeneration,gas_cogeneration,2030,2030,,,,,,,,,,,0.39,,,,,0.202,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
coal,coal,2030,2030,,,,,,,,,,,0.33,,,,,0.341,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
diesel_peaker,diesel_peaker,2030,2030,,,,,,,,,,,0.33,,,,,0.267,,,,,,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
bio_reciprocating,bio_reciprocating,2030,2030,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
diesel,diesel,2030,2030,,,,,,,,,,,,,,,,0.267,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
gas,gas,2030,2030,,,,,,,,,,,,,,,,0.202,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
other_cogeneration,other_cogeneration,2030,2030,,,,,,,,,,,,,,,,0.202,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
thermal,thermal,2030,2030,,,,,,,,,,,,,,,,0.202,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
thermal_other,thermal_other,2030,2030,,,,,,,,,,,,,,,,0.202,,,,,0.0,,,,,,,,,,Original NZ technology-level cost row; values and projection rates retained unchanged.
bess_2h,bess,,,,,,,,,55000,,0,,,2,0.95,0.95,0.001,,,,,,,,,,,,,,,,Duration-specific legacy NZ BESS values moved from storage_capacity.csv without numerical or unit conversion.
bess_4h,bess,,,,,,,,,75000,,0,,,4,0.95,0.95,0.001,,,,,,,,,,,,,,,,Duration-specific legacy NZ BESS values moved from storage_capacity.csv without numerical or unit conversion.
bess_6h,bess,,,,,,,,,95000,,0,,,6,0.95,0.95,0.001,,,,,,,,,,,,,,,,Duration-specific legacy NZ BESS values moved from storage_capacity.csv without numerical or unit conversion.
bess_8h,bess,,,,,,,,,115000,,0,,,8,0.95,0.95,0.001,,,,,,,,,,,,,,,,Duration-specific legacy NZ BESS values moved from storage_capacity.csv without numerical or unit conversion.
electrolyzer,electrolyzer,,,,,,,,,90000,,0.0,,0.7,,,,,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
h2_tank,hydrogen_storage,,,,,,,,,2500,,0.0,,,,,,0.0005,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
h2_fuel_cell,h2_fuel_cell,,,,,,,,,100000,,0.0,,0.55,,,,,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
h2_turbine,h2_turbine,,,,,,,,,85000,,0.0,,0.45,,,,,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
uhs_injection,uhs_injection,,,,,,,,,20000,,0.01,,0.98,,,,,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
uhs_withdrawal,uhs_withdrawal,,,,,,,,,25000,,0.01,,0.98,,,,,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
uhs_storage,uhs_storage,,,,,,,,,1200,,0.0,,,,,,0.0001,,,,,,,,,,,,,,,,Legacy NZ hydrogen/UHS values moved from hydrogen_assets.csv without numerical or unit conversion.
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,2025,2025,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,259.270575,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 3 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,2030,2030,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,273.149322,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 3 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,2040,2040,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,279.894103,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 3 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,2050,2050,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,317.999353,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 3 (Otahuhu); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,2025,2025,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,259.270575,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 4 (Southdown); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,2030,2030,,,MW_e generator capacity,,,,113801.673719,NZD/MW-year,273.149322,NZD/MWh_e,0.306383,,,,,0.659306,,,,,,5.418526,2.650366,11750,13.192934,134.493094,MBIE EDGS 2024 assumptions workbook + explicit study assumptions in build_capacity_EDGS.py,,,,EDGS plant=Generic OCGT peaker: 4 (Southdown); status=Generic; capital_cost is the legacy annualised NZ generator value (investment + fixed O&M for flexible candidates; zero for sunk existing/fixed capacity); variable_O&M_NZD_per_MWh=13.428522; overnight_CAPEX_NZD_per_MW=1344930.937476.
