asset_id,generator,zone,technology,cost_key,installed_capacity,p_min_mw,availability_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,edgs_scenario,edgs_earliest_commissioning_year,edgs_fixed_commissioning_year,topology,requires_hydro_asset,requires_vre_profile,commissioning_policy,builder_version
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,auckland,gas_peaker,gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,100.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic OCGT peaker: 3 (Otahuhu),generic_ocgt_peaker_3_otahuhu,GasPkr,"Peaker, gas-fired OCGT",PELE,OTA,Auckland,Reference,2025,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,auckland,gas_peaker,gas_peaker_auckland_generic_ocgt_peaker_4_southdown,100.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Generic,Generic OCGT peaker: 4 (Southdown),generic_ocgt_peaker_4_southdown,GasPkr,"Peaker, gas-fired OCGT",PELE,SWN,Auckland,Reference,2025,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,auckland,gas_peaker,gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,100.000000,0.000000,1.000000,2035,2035,,flexible,edgs_earliest_commissioning_year,True,Generic,Generic OCGT peaker: 7 (Otahuhu),generic_ocgt_peaker_7_otahuhu,GasPkr,"Peaker, gas-fired OCGT",PELE,OTA,Auckland,Reference,2035,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,auckland,other_cogeneration,other_cogeneration_auckland_glenbrook_cogeneration_power_plant,0.000000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Glenbrook cogeneration power plant,glenbrook_cogeneration_power_plant,OthCog,"Cogeneration, other",ACHP,GLN,Auckland,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
solar_auckland_generic_solar_101_200mw_60,solar,auckland,solar,solar_auckland_generic_solar_101_200mw_60,140.000000,0.000000,1.000000,2030,2030,,flexible,edgs_earliest_commissioning_year,True,Generic,Generic solar (101-200MW): 60,generic_solar_101_200mw_60,Solar,Solar,PELE,PAK,Auckland,Reference,2030,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_auckland_helensville_solar_farm,solar,auckland,solar,solar_auckland_helensville_solar_farm,53.000000,0.000000,1.000000,2030,2030,,flexible,assumed_from_status_applied_for_consent,True,Applied for consent,Helensville solar farm,helensville_solar_farm,Solar,Solar,PELE,HPI,Auckland,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_auckland_kaipara_solar_farm,solar,auckland,solar,solar_auckland_kaipara_solar_farm,70.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year,True,Announced,Kaipara solar farm,kaipara_solar_farm,Solar,Solar,PELE,HPI,Auckland,Reference,2026,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
solar_auckland_lodestone_whitianga,solar,auckland,solar,solar_auckland_lodestone_whitianga,31.000000,0.000000,1.000000,2026,2026,,flexible,edgs_earliest_commissioning_year;shifted_after_base_year,True,Fully consented,Lodestone Whitianga,lodestone_whitianga,Solar,Solar,PELE,KPU,Auckland,Reference,2025,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_auckland_generic_wind_no_26,wind,auckland,wind,wind_auckland_generic_wind_no_26,100.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Generic Wind No. 26,generic_wind_no_26,Wind,Wind,PELE,GLN,Auckland,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_auckland_generic_wind_no_79,wind,auckland,wind,wind_auckland_generic_wind_no_79,150.000000,0.000000,1.000000,2035,2035,,flexible,assumed_from_status_generic,True,Generic,Generic Wind No. 79,generic_wind_no_79,Wind,Wind,PELE,GLN,Auckland,Reference,,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
wind_auckland_waiuku_wind_farm,wind,auckland,wind,wind_auckland_waiuku_wind_farm,85.000000,0.000000,1.000000,2027,2027,,flexible,edgs_earliest_commissioning_year,True,Applied for consent,Waiuku Wind Farm,waiuku_wind_farm,Wind,Wind,PELE,SWN,Auckland,Reference,2027,,14,False,True,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_kawerau,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_kawerau,103.000000,0.000000,0.850000,,,,existing,edgs_status_current,True,Current,Kawerau,kawerau,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_kawerau_topp1,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_kawerau_topp1,21.500000,0.000000,0.850000,,,,existing,edgs_status_current,True,Current,Kawerau (TOPP1),kawerau_topp1,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_kawerau_topp2,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_kawerau_topp2,49.000000,0.000000,0.850000,2026,,2026,fixed,assumed_from_status_under_construction,True,Under construction,Kawerau (TOPP2),kawerau_topp2,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_te_ahi_o_maui_ka22,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_te_ahi_o_maui_ka22,25.000000,0.000000,0.850000,,,,existing,edgs_status_current,True,Current,Te Ahi O Maui (KA22),te_ahi_o_maui_ka22,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_geothermal_project,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_geothermal_project,35.000000,0.000000,0.850000,2030,2030,,flexible,edgs_earliest_commissioning_year,True,Applied for consent,Tāheke Geothermal Project,taheke_geothermal_project,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2030,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_stage_2,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_stage_2,25.000000,0.000000,0.850000,2040,2040,,flexible,edgs_earliest_commissioning_year,True,Generic,Tāheke: Stage 2,taheke_stage_2,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2040,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
geothermal_bay_of_plenty_taheke_stage_3,geothermal,bay_of_plenty,geothermal,geothermal_bay_of_plenty_taheke_stage_3,25.000000,0.000000,0.850000,2050,2050,,flexible,edgs_earliest_commissioning_year,True,Generic,Tāheke: Stage 3,taheke_stage_3,Geo,Geothermal,PELE,KAW,Bay of Plenty,Reference,2050,,14,False,False,status_first,2026-09-02-central-costs-scenarios-availability
hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage,bay_of_plenty,hydro_storage,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,25.300000,0.000000,1.000000,,,,existing,edgs_status_current,True,Current,Bay of Plenty hydro scheme (embedded),bay_of_plenty_hydro_scheme_embedded,HydSC,"Hydro, schedulable",PELE,TGA,Bay of Plenty,Reference,,,14,True,False,status_first,2026-09-02-central-costs-scenarios-availability
