asset_id,storage,zone,technology,cost_key,installed_power_mw,p_nom_max_mw,max_hours,efficiency_store,efficiency_dispatch,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,initial_soc_fraction,final_soc_fraction,cyclic_state_of_charge
bess_2h_northland,bess_2h,northland,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_northland,bess_4h,northland,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_northland,bess_6h,northland,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_northland,bess_8h,northland,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_auckland,bess_2h,auckland,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_auckland,bess_4h,auckland,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_auckland,bess_6h,auckland,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_auckland,bess_8h,auckland,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_waikato,bess_2h,waikato,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_waikato,bess_4h,waikato,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_waikato,bess_6h,waikato,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_waikato,bess_8h,waikato,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_bay_of_plenty,bess_2h,bay_of_plenty,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_bay_of_plenty,bess_4h,bay_of_plenty,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_bay_of_plenty,bess_6h,bay_of_plenty,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_bay_of_plenty,bess_8h,bay_of_plenty,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_taranaki,bess_2h,taranaki,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_taranaki,bess_4h,taranaki,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_taranaki,bess_6h,taranaki,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_taranaki,bess_8h,taranaki,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_hawkes_bay,bess_2h,hawkes_bay,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_hawkes_bay,bess_4h,hawkes_bay,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_hawkes_bay,bess_6h,hawkes_bay,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_hawkes_bay,bess_8h,hawkes_bay,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_manawatu_whanganui,bess_2h,manawatu_whanganui,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_manawatu_whanganui,bess_4h,manawatu_whanganui,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_manawatu_whanganui,bess_6h,manawatu_whanganui,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_manawatu_whanganui,bess_8h,manawatu_whanganui,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_wellington,bess_2h,wellington,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_wellington,bess_4h,wellington,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_wellington,bess_6h,wellington,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_wellington,bess_8h,wellington,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_nelson,bess_2h,nelson,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_nelson,bess_4h,nelson,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_nelson,bess_6h,nelson,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_nelson,bess_8h,nelson,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_marlborough,bess_2h,marlborough,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_marlborough,bess_4h,marlborough,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_marlborough,bess_6h,marlborough,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_marlborough,bess_8h,marlborough,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_west_coast,bess_2h,west_coast,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_west_coast,bess_4h,west_coast,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_west_coast,bess_6h,west_coast,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_west_coast,bess_8h,west_coast,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_canterbury,bess_2h,canterbury,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_canterbury,bess_4h,canterbury,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_canterbury,bess_6h,canterbury,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_canterbury,bess_8h,canterbury,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_otago,bess_2h,otago,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_otago,bess_4h,otago,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_otago,bess_6h,otago,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_otago,bess_8h,otago,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_2h_southland,bess_2h,southland,bess,bess_2h,0,,2,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_4h_southland,bess_4h,southland,bess,bess_4h,0,,4,0.95,0.95,0.001,2030,2030,,flexible,True,1,,,
bess_6h_southland,bess_6h,southland,bess,bess_6h,0,,6,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
bess_8h_southland,bess_8h,southland,bess,bess_8h,0,,8,0.95,0.95,0.001,2030,2030,,flexible,False,1,,,
